rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.2889230529467266,11.006605312,1.5598211288452148,4.757970105410762
16,32,3686400,3.352792167663574,10.406283264,1.5134861469268799,4.542539182132738
64,128,14745600,3.3175740838050842,11.785754624,1.4758247137069702,4.374642112939965
